GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
csv,com.kgisl.csv,VehicleCsvExample,25,0,0,0,8,0,2,0,2,0
csv,com.kgisl.csv,DaoPatternDemo,72,0,2,0,11,0,3,0,2,0
csv,com.kgisl.csv,Vehicle,102,0,0,0,23,0,16,0,16,0
csv,com.kgisl.csv,OpenCsvExample,25,0,0,0,8,0,2,0,2,0
csv,com.kgisl.csv,Student,23,0,0,0,10,0,5,0,5,0
csv,com.kgisl.csv,StudentDaoImpl,82,0,0,0,15,0,5,0,5,0
csv,com.kgisl.csv,Vehicledb,323,0,14,0,67,0,19,0,12,0
csv,com.kgisl.csv,Country,58,0,0,0,14,0,10,0,10,0
